Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P15: April 11, 2021 to May 8, 2021",British Columbia,30300,440190,4720,444910,417327000,938,0.14
"P15: April 11, 2021 to May 8, 2021",Yukon,160,3340,-,3340,3034000,908,0
"P15: April 11, 2021 to May 8, 2021",Northwest Territories,140,2090,-,2090,1827000,874,0
"P15: April 11, 2021 to May 8, 2021",Nunavut,40,710,30,750,710000,947,0
"P15: April 11, 2021 to May 8, 2021",Missing,310,39880,1630,41510,24685000,595,0
"P15: April 11, 2021 to May 8, 2021",All Canada,217720,3712360,44420,3756780,3411214000,908,1
"P16: May 9, 2021 to June 5, 2021",Newfoundland and Labrador,2330,32840,100,32940,31247000,949,0.01
"P16: May 9, 2021 to June 5, 2021",Prince Edward Island,960,14990,40,15030,14151000,942,0
"P16: May 9, 2021 to June 5, 2021",Nova Scotia,4410,74060,1950,76010,69087000,909,0.02
"P16: May 9, 2021 to June 5, 2021",New Brunswick,4200,70410,130,70540,64003000,907,0.02
"P16: May 9, 2021 to June 5, 2021",Quebec,53030,922450,7230,929680,817916000,880,0.24
"P16: May 9, 2021 to June 5, 2021",Ontario,82390,1566180,17340,1583510,1507446000,952,0.37
"P16: May 9, 2021 to June 5, 2021",Manitoba,5970,113270,540,113810,133067000,1169,0.03
"P16: May 9, 2021 to June 5, 2021",Saskatchewan,5980,80420,890,81310,72324000,889,0.03
"P16: May 9, 2021 to June 5, 2021",Alberta,32480,509330,5710,515040,579391000,1125,0.15
"P16: May 9, 2021 to June 5, 2021",British Columbia,30700,469720,4200,473920,456554000,963,0.14
"P16: May 9, 2021 to June 5, 2021",Yukon,170,3530,-,3540,3260000,921,0
"P16: May 9, 2021 to June 5, 2021",Northwest Territories,140,2240,10,2250,2454000,1091,0
"P16: May 9, 2021 to June 5, 2021",Nunavut,50,1120,10,1140,902000,791,0
"P16: May 9, 2021 to June 5, 2021",Missing,310,43290,1330,44620,26546000,595,0
"P16: May 9, 2021 to June 5, 2021",All Canada,223130,3903830,39490,3943320,3778350000,958,1
"P17: June 6, 2021 to July 3, 2021",Newfoundland and Labrador,2120,29030,100,29130,30179000,1036,0.01
"P17: June 6, 2021 to July 3, 2021",Prince Edward Island,910,14110,20,14130,12972000,918,0
"P17: June 6, 2021 to July 3, 2021",Nova Scotia,4080,69320,1510,70830,72651000,1026,0.02
"P17: June 6, 2021 to July 3, 2021",New Brunswick,3820,62280,40,62320,56286000,903,0.02
"P17: June 6, 2021 to July 3, 2021",Quebec,48380,831100,6130,837230,771346000,921,0.23
"P17: June 6, 2021 to July 3, 2021",Ontario,76920,1410690,10360,1421050,1389489000,978,0.37
